"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
51,PASCO,0083,GULF HIGHLANDS ELEMENTARY SCHOOL,689,631,91.6%
51,PASCO,0084,DOUBLE BRANCH ELEMENTARY SCHOOL,829,811,97.8%
51,PASCO,0085,TRINITY OAKS ELEMENTARY SCHOOL,639,627,98.1%
51,PASCO,0086,DR. JOHN LONG MIDDLE SCHOOL,"1,496","1,467",98.1%
51,PASCO,0089,PAUL R. SMITH MIDDLE SCHOOL,830,742,89.4%
51,PASCO,0090,WIREGRASS RANCH HIGH SCHOOL,"2,218","2,149",96.9%
51,PASCO,0091,WEST ZEPHYRHILLS ELEMENTARY SCHOOL,625,585,93.6%
51,PASCO,0092,NEW RIVER ELEMENTARY SCHOOL,939,896,95.4%
51,PASCO,0093,GULF TRACE ELEMENTARY SCHOOL,625,574,91.8%
51,PASCO,0100,CHARLES S. RUSHE MIDDLE SCHOOL,"1,365","1,322",96.8%
51,PASCO,0101,SUNLAKE HIGH SCHOOL,"2,206","2,139",97.0%
51,PASCO,0102,RAYMOND B. STEWART MIDDLE SCHOOL,954,887,93.0%
51,PASCO,0103,CREWS LAKE MIDDLE SCHOOL.,709,671,94.6%
51,PASCO,0110,VETERANS ELEMENTARY SCHOOL,638,613,96.1%
51,PASCO,0112,WATERGRASS ELEMENTARY SCHOOL,859,809,94.2%
51,PASCO,0113,ANCLOTE HIGH SCHOOL,"1,150","1,053",91.6%
51,PASCO,0114,FIVAY HIGH SCHOOL,"1,554","1,411",90.8%
51,PASCO,0117,ODESSA ELEMENTARY SCHOOL,984,956,97.2%
51,PASCO,0119,SANDERS MEMORIAL ELEMENTARY SCHOOL,842,837,99.4%
51,PASCO,0120,QUAIL HOLLOW ELEMENTARY SCHOOL,559,527,94.3%
51,PASCO,0121,SHADY HILLS ELEMENTARY SCHOOL,444,427,96.2%
51,PASCO,0122,WIREGRASS ELEMENTARY SCHOOL,957,938,98.0%
51,PASCO,0123,CYPRESS CREEK HIGH SCHOOL,"2,006","1,881",93.8%
51,PASCO,0125,BEXLEY ELEMENTARY SCHOOL,"1,114","1,070",96.1%
51,PASCO,0128,WENDELL KRINN TECHNICAL HIGH SCHOOL,765,728,95.2%
51,PASCO,0131,ZEPHYRHILLS HIGH SCHOOL,"1,656","1,484",89.6%
51,PASCO,0132,WOODLAND ELEMENTARY SCHOOL,792,750,94.7%
51,PASCO,0133,CYPRESS CREEK MIDDLE SCHOOL,"1,283","1,220",95.1%
51,PASCO,0142,KIRKLAND RANCH ACADEMY OF INNOVATION,"1,008",975,96.7%
51,PASCO,0153,ANGELINE ACADEMY OF INNOVATION,"1,088","1,057",97.2%
51,PASCO,0154,KIRKLAND RANCH K-8,"1,145","1,121",97.9%
51,PASCO,0201,CONNERTON ELEMENTARY SCHOOL,953,914,95.9%
51,PASCO,0211,MITTYE P. LOCKE ACHIEVEMENT ACADEMY,84,75,89.3%
51,PASCO,0242,WEST PASCO EDUCATION ACADEMY,104,55,52.9%
51,PASCO,0251,SAN ANTONIO ELEMENTARY SCHOOL,706,677,95.9%
51,PASCO,0261,GULF MIDDLE SCHOOL,796,719,90.3%
51,PASCO,0271,RICHEY ELEMENTARY SCHOOL,750,677,90.3%
51,PASCO,0311,COTEE RIVER ELEMENTARY SCHOOL,526,483,91.8%
51,PASCO,0321,LACOOCHEE ELEMENTARY SCHOOL,296,287,97.0%
51,PASCO,0331,GULF HIGH SCHOOL,"1,518","1,392",91.7%
51,PASCO,0341,SCHRADER ELEMENTARY SCHOOL,572,538,94.1%
51,PASCO,0342,BAYONET POINT MIDDLE SCHOOL,668,601,90.0%
51,PASCO,0351,FOX HOLLOW ELEMENTARY SCHOOL,636,557,87.6%
51,PASCO,0401,CENTENNIAL ELEMENTARY SCHOOL,684,657,96.1%
51,PASCO,0411,SEVEN SPRINGS ELEMENTARY SCHOOL,469,452,96.4%
51,PASCO,0421,DEER PARK ELEMENTARY SCHOOL,524,503,96.0%
51,PASCO,0451,DR. MARY GIELLA ELEMENTARY SCHOOL,568,527,92.8%
51,PASCO,0461,THOMAS E. WEIGHTMAN MIDDLE SCHOOL,"1,270","1,199",94.4%
51,PASCO,0471,RIVER RIDGE HIGH SCHOOL,"1,798","1,705",94.8%
51,PASCO,0472,RIVER RIDGE MIDDLE SCHOOL,"1,026",983,95.8%
51,PASCO,0501,HUDSON PRIMARY ACADEMY,636,572,89.9%
51,PASCO,0521,HUDSON HIGH SCHOOL,"1,497","1,401",93.6%
51,PASCO,0701,CYPRESS ELEMENTARY SCHOOL,554,520,93.9%
51,PASCO,0801,LAND O' LAKES HIGH SCHOOL,"2,233","2,146",96.1%
51,PASCO,0901,ANCLOTE ELEMENTARY SCHOOL,543,490,90.2%
51,PASCO,0902,PINE VIEW ELEMENTARY SCHOOL,522,503,96.4%
51,PASCO,0911,GULFSIDE ELEMENTARY SCHOOL,393,346,88.0%
51,PASCO,0921,PINE VIEW MIDDLE SCHOOL,929,894,96.2%
51,PASCO,0932,CALUSA ELEMENTARY SCHOOL,417,373,89.4%
51,PASCO,0941,MOON LAKE ELEMENTARY SCHOOL,567,530,93.5%
51,PASCO,0951,HUDSON ACADEMY,920,848,92.2%
51,PASCO,0961,LAKE MYRTLE ELEMENTARY SCHOOL,559,536,95.9%
51,PASCO,1411,STARKEY RANCH K-8,"1,927","1,898",98.5%
51,PASCO,2061,SAND PINE ELEMENTARY SCHOOL,502,488,97.2%
51,PASCO,2071,WESLEY CHAPEL ELEMENTARY SCHOOL,724,702,97.0%
51,PASCO,2081,LONGLEAF ELEMENTARY SCHOOL,601,589,98.0%
51,PASCO,2091,SEVEN OAKS ELEMENTARY SCHOOL,656,628,95.7%
51,PASCO,4301,DAYSPRING ACADEMY,"1,259","1,221",97.0%
51,PASCO,4302,ACADEMY AT THE FARM,761,756,99.3%
51,PASCO,4307,COUNTRYSIDE MONTESSORI ACADEMY,357,348,97.5%
51,PASCO,4321,ATHENIAN ACADEMY OF TECHNOLOGY AND THE ARTS,404,387,95.8%
51,PASCO,4323,IMAGINE SCHOOL AT LAND O' LAKES,913,900,98.6%
51,PASCO,4326,CLASSICAL PREPARATORY SCHOOL,"1,154","1,065",92.3%
51,PASCO,4327,LEARNING LODGE ACADEMY,308,292,94.8%
51,PASCO,4328,PEPIN ACADEMIES OF PASCO COUNTY,300,286,95.3%
51,PASCO,4329,PLATO ACADEMY TRINITY CHARTER SCHOOL,489,469,95.9%
51,PASCO,4330,UNION PARK CHARTER ACADEMY,803,753,93.8%
51,PASCO,4332,PINECREST ACADEMY WESLEY CHAPEL,"1,312","1,273",97.0%
51,PASCO,4333,INNOVATION PREPARATORY ACADEMY,"1,274","1,204",94.5%
51,PASCO,4339,PINECREST ACADEMY WESLEY CHAPEL HIGH SCHOOL,82,77,93.9%
51,PASCO,4341,DAYSPRING ANGELINE,312,304,97.4%
51,PASCO,5242,PACE CENTER FOR GIRLS,55,45,81.8%
51,PASCO,5881,PASCO COUNTY CORRECTION DEPARTMENT,11,7,63.6%
51,PASCO,7004,PASCO ESCHOOL-VIRTUAL FRANCHISE,610,541,88.7%
51,PASCO,7023,PASCO VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),139,132,95.0%
51,PASCO,7071,EAST PASCO EDUCATION ACADEMY,80,31,38.8%
51,PASCO,7081,JUVENILE DETENTION CENTER,29,0,0.0%
51,PASCO,8991,MARCHMAN TECHNICAL COLLEGE,*,*,*
52,PINELLAS,0051,ANONA ELEMENTARY SCHOOL,430,415,96.5%
52,PINELLAS,0111,AZALEA ELEMENTARY SCHOOL,426,398,93.4%
52,PINELLAS,0121,AZALEA MIDDLE SCHOOL,696,642,92.2%
52,PINELLAS,0131,BARDMOOR ELEMENTARY SCHOOL,457,445,97.4%
52,PINELLAS,0141,LARGO MIDDLE SCHOOL,752,694,92.3%
52,PINELLAS,0151,BAUDER ELEMENTARY SCHOOL,530,506,95.5%
52,PINELLAS,0161,BAY POINT ELEMENTARY SCHOOL,390,378,96.9%
52,PINELLAS,0171,BAY POINT MIDDLE SCHOOL,519,486,93.6%
52,PINELLAS,0231,BAY VISTA FUNDAMENTAL ELEMENTARY SCHOOL,574,554,96.5%
52,PINELLAS,0251,BAYSIDE HIGH SCHOOL,139,100,71.9%
52,PINELLAS,0271,BEAR CREEK ELEMENTARY SCHOOL,237,225,94.9%
52,PINELLAS,0321,BELCHER ELEMENTARY SCHOOL,467,446,95.5%
52,PINELLAS,0371,BELLEAIR ELEMENTARY SCHOOL,455,408,89.7%
52,PINELLAS,0391,BLANTON ELEMENTARY SCHOOL,427,402,94.1%
52,PINELLAS,0431,BOCA CIEGA HIGH SCHOOL,"1,039",947,91.1%
52,PINELLAS,0441,BROOKER CREEK ELEMENTARY SCHOOL,501,490,97.8%
52,PINELLAS,0481,CAMPBELL PARK ELEMENTARY SCHOOL,502,465,92.6%
52,PINELLAS,0521,ESE COUNTYWIDE,206,182,88.3%
52,PINELLAS,0531,JOSEPH L. CARWISE MIDDLE SCHOOL,859,820,95.5%
52,PINELLAS,0681,PAUL B. STEPHENS ESE CENTER,137,134,97.8%
52,PINELLAS,0711,CLEARWATER HIGH SCHOOL,"1,543","1,399",90.7%
52,PINELLAS,0731,CLEARWATER FUNDAMENTAL MIDDLE SCHOOL,736,729,99.0%
52,PINELLAS,0751,COUNTRYSIDE HIGH SCHOOL,"1,396","1,295",92.8%
52,PINELLAS,0811,CROSS BAYOU ELEMENTARY SCHOOL,303,292,96.4%
52,PINELLAS,0851,CURLEW CREEK ELEMENTARY SCHOOL,610,592,97.0%
52,PINELLAS,0981,DISSTON ACADEMY,63,48,76.2%
52,PINELLAS,0991,LEILA DAVIS ELEMENTARY SCHOOL,636,624,98.1%
52,PINELLAS,1031,DIXIE M. HOLLINS HIGH SCHOOL,"1,934","1,800",93.1%
52,PINELLAS,1071,DUNEDIN ELEMENTARY SCHOOL,474,449,94.7%
52,PINELLAS,1081,DUNEDIN HIGH SCHOOL,"1,221","1,153",94.4%
52,PINELLAS,1091,DUNEDIN HIGHLAND MIDDLE SCHOOL,842,813,96.6%
52,PINELLAS,1131,EISENHOWER ELEMENTARY SCHOOL,678,614,90.6%
52,PINELLAS,1211,FAIRMOUNT PARK ELEMENTARY SCHOOL,425,391,92.0%
52,PINELLAS,1261,JOHN M. SEXTON ELEMENTARY SCHOOL,355,340,95.8%
52,PINELLAS,1281,FITZGERALD MIDDLE SCHOOL,910,852,93.6%
52,PINELLAS,1331,FOREST LAKES ELEMENTARY SCHOOL,480,473,98.5%
52,PINELLAS,1341,FRONTIER ELEMENTARY SCHOOL,542,513,94.6%
52,PINELLAS,1361,FUGUITT ELEMENTARY SCHOOL,464,448,96.6%
52,PINELLAS,1421,LYNCH ELEMENTARY SCHOOL,450,420,93.3%
52,PINELLAS,1471,PERKINS ELEMENTARY SCHOOL,561,546,97.3%
52,PINELLAS,1481,GARRISON-JONES ELEMENTARY SCHOOL,545,530,97.2%
52,PINELLAS,1531,GIBBS HIGH SCHOOL,"1,125","1,019",90.6%
52,PINELLAS,1691,GULFPORT MONTESSORI ELEMENTARY SCHOOL,421,389,92.4%
52,PINELLAS,1781,HIGHLAND LAKES ELEMENTARY SCHOOL,449,429,95.5%
52,PINELLAS,1801,CALVIN A. HUNSINGER SCHOOL,101,65,64.4%
52,PINELLAS,1811,HIGH POINT ELEMENTARY SCHOOL,600,559,93.2%
52,PINELLAS,1821,DOUGLAS L. JAMERSON JR. ELEMENTARY,536,527,98.3%
52,PINELLAS,1961,LAKEVIEW FUNDAMENTAL ELEMENTARY,309,298,96.4%
52,PINELLAS,2021,LAKEWOOD ELEMENTARY SCHOOL,446,406,91.0%
52,PINELLAS,2031,LAKEWOOD HIGH SCHOOL,880,818,93.0%
52,PINELLAS,2081,LARGO HIGH SCHOOL,"2,058","1,924",93.5%
52,PINELLAS,2141,LEALMAN AVENUE ELEMENTARY SCHOOL,371,334,90.0%
52,PINELLAS,2151,LEALMAN INNOVATION ACADEMY,307,282,91.9%
52,PINELLAS,2261,MADEIRA BEACH FUNDAMENTAL K-8,"1,306","1,290",98.8%
52,PINELLAS,2281,MAXIMO ELEMENTARY SCHOOL,339,311,91.7%
52,PINELLAS,2301,MCMULLEN-BOOTH ELEMENTARY SCHOOL,445,430,96.6%
52,PINELLAS,2321,MEADOWLAWN MIDDLE SCHOOL,616,569,92.4%
52,PINELLAS,2371,MELROSE ELEMENTARY SCHOOL,356,320,89.9%
52,PINELLAS,2381,MIDTOWN ACADEMY,368,361,98.1%
52,PINELLAS,2431,MILDRED HELMS ELEMENTARY SCHOOL,515,491,95.3%
52,PINELLAS,2441,CHI CHI RODRIQUEZ ACADEMY,90,87,96.7%
52,PINELLAS,2531,MOUNT VERNON ELEMENTARY SCHOOL,333,309,92.8%
52,PINELLAS,2581,NINA HARRIS ESE CENTER,160,152,95.0%
52,PINELLAS,2641,NORTHEAST HIGH SCHOOL,"1,684","1,543",91.6%
52,PINELLAS,2691,NORTH SHORE ELEMENTARY SCHOOL,433,414,95.6%
52,PINELLAS,2791,NORTHWEST ELEMENTARY SCHOOL,418,402,96.2%
52,PINELLAS,2861,OAK GROVE MIDDLE SCHOOL,724,685,94.6%
52,PINELLAS,2921,OAKHURST ELEMENTARY SCHOOL,677,665,98.2%
52,PINELLAS,2961,OLDSMAR ELEMENTARY SCHOOL,473,458,96.8%
52,PINELLAS,3021,ORANGE GROVE ELEMENTARY SCHOOL,405,394,97.3%
52,PINELLAS,3031,OSCEOLA FUNDAMENTAL HIGH,"1,706","1,679",98.4%
52,PINELLAS,3041,OSCEOLA MIDDLE SCHOOL,933,897,96.1%
52,PINELLAS,3071,OZONA ELEMENTARY SCHOOL,727,708,97.4%
52,PINELLAS,3131,CURTIS FUNDAMENTAL ELEMENTARY,538,535,99.4%
52,PINELLAS,3181,ELISA NELSON ELEMENTARY,421,416,98.8%
52,PINELLAS,3191,PALM HARBOR MIDDLE SCHOOL,"1,017",990,97.3%
52,PINELLAS,3231,RICHARD L. SANDERS SCHOOL,160,72,45.0%
52,PINELLAS,3281,PASADENA FUNDAMENTAL ELEMENTARY SCHOOL,459,455,99.1%
52,PINELLAS,3341,PINELLAS HIGH INNOVATION,194,174,89.7%
52,PINELLAS,3361,PINELLAS CENTRAL ELEMENTARY SCHOOL,483,439,90.9%
52,PINELLAS,3371,RICHARD O JACOBSON TECHNICAL HIGH SCHOOL AT SEMINOLE,546,527,96.5%
52,PINELLAS,3391,PINELLAS PARK ELEMENTARY SCHOOL,435,421,96.8%
52,PINELLAS,3411,PINELLAS PARK MIDDLE SCHOOL,999,917,91.8%
52,PINELLAS,3421,PINELLAS PARK HIGH SCHOOL,"1,691","1,565",92.5%
52,PINELLAS,3431,PLUMB ELEMENTARY SCHOOL,704,679,96.4%
52,PINELLAS,3461,PONCE DE LEON ELEMENTARY SCHOOL,546,508,93.0%
52,PINELLAS,3511,RIDGECREST ELEMENTARY SCHOOL,438,419,95.7%
52,PINELLAS,3731,SAFETY HARBOR ELEMENTARY SCHOOL,588,575,97.8%
52,PINELLAS,3741,SAFETY HARBOR MIDDLE SCHOOL,956,901,94.2%
52,PINELLAS,3751,SAWGRASS LAKE ELEMENTARY SCHOOL,573,521,90.9%
52,PINELLAS,3761,JAMES B. SANDERLIN K-8,817,803,98.3%
52,PINELLAS,3781,ST. PETERSBURG HIGH SCHOOL,"1,736","1,625",93.6%
52,PINELLAS,3851,SAN JOSE ELEMENTARY SCHOOL,336,311,92.6%
52,PINELLAS,3871,SANDY LANE ELEMENTARY SCHOOL,288,265,92.0%
52,PINELLAS,3911,SEMINOLE ELEMENTARY SCHOOL,371,359,96.8%
52,PINELLAS,3921,SEMINOLE HIGH SCHOOL,"1,394","1,277",91.6%
52,PINELLAS,3931,SEMINOLE MIDDLE SCHOOL,752,713,94.8%
52,PINELLAS,3961,SEVENTY-FOURTH ST. ELEMENTARY,472,437,92.6%
52,PINELLAS,4021,SHORE ACRES ELEMENTARY SCHOOL,690,664,96.2%
52,PINELLAS,4061,JOHN HOPKINS MIDDLE SCHOOL,757,702,92.7%
52,PINELLAS,4121,SKYCREST ELEMENTARY SCHOOL,521,506,97.1%
52,PINELLAS,4171,SKYVIEW ELEMENTARY SCHOOL,564,534,94.7%
52,PINELLAS,4331,STARKEY ELEMENTARY SCHOOL,580,568,97.9%
52,PINELLAS,4351,MARJORIE KINNAN RAWLINGS ELEM,433,407,94.0%
52,PINELLAS,4381,SUNSET HILLS ELEMENTARY SCHOOL,428,412,96.3%
52,PINELLAS,4491,TARPON SPRINGS ELEMENTARY SCHOOL,417,386,92.6%
52,PINELLAS,4521,TARPON SPRINGS HIGH SCHOOL,"1,111","1,043",93.9%
52,PINELLAS,4581,TARPON SPRINGS MIDDLE SCHOOL,649,605,93.2%
52,PINELLAS,4591,NEW HEIGHTS ELEMENTARY SCHOOL,666,641,96.2%
52,PINELLAS,4611,TYRONE MIDDLE SCHOOL,799,751,94.0%
52,PINELLAS,4631,THURGOOD MARSHALL FUNDAMENTAL,751,733,97.6%
52,PINELLAS,4661,TARPON SPRINGS FUNDAMENTAL ELE,267,260,97.4%
52,PINELLAS,4681,PALM HARBOR UNIVERSITY HIGH,"2,413","2,314",95.9%
52,PINELLAS,4701,WALSINGHAM ELEMENTARY SCHOOL,366,341,93.2%
52,PINELLAS,4771,WESTGATE ELEMENTARY SCHOOL,498,487,97.8%
52,PINELLAS,4931,WOODLAWN ELEMENTARY SCHOOL,216,198,91.7%
52,PINELLAS,5401,MANGROVE BAY MIDDLE SCHOOL,317,296,93.4%
52,PINELLAS,6181,EAST LAKE HIGH SCHOOL,"1,980","1,895",95.7%
52,PINELLAS,6251,SOUTHERN OAK ELEMENTARY SCHOOL,451,429,95.1%
52,PINELLAS,6261,CYPRESS WOODS ELEMENTARY SCHOOL,676,659,97.5%
52,PINELLAS,6271,SUTHERLAND ELEMENTARY SCHOOL,564,548,97.2%
52,PINELLAS,6281,LAKE ST. GEORGE ELEMENTARY SCHOOL,499,488,97.8%
52,PINELLAS,6311,GULF BEACHES ELEMENTARY MAGNET SCHOOL,313,304,97.1%
52,PINELLAS,6361,KINGS HIGHWAY ELEMENTARY MAGNET SCHOOL,277,262,94.6%
52,PINELLAS,6371,PINELLAS GULF COAST ACADEMY,202,122,60.4%
52,PINELLAS,6391,EAST LAKE MIDDLE SCHOOL ACADEMY OF ENGINEERING,392,386,98.5%
52,PINELLAS,7004,PINELLAS VIRTUAL FRANCHISE,153,135,88.2%
52,PINELLAS,7051,PINELLAS TELESCHOOL,130,56,43.1%
52,PINELLAS,7071,DROPOUT PREVENTION SCHOOL,395,236,59.7%
52,PINELLAS,7081,HOSPITAL/HOMEBOUND,61,54,88.5%
52,PINELLAS,7131,ACADEMIE DA VINCI CHARTER SCHOOL,336,329,97.9%
52,PINELLAS,7151,ATHENIAN ACADEMY,377,365,96.8%
52,PINELLAS,7171,PINELLAS PREPARATORY ACADEMY,764,751,98.3%
52,PINELLAS,7181,PLATO ACADEMY CLEARWATER,616,601,97.6%
52,PINELLAS,7191,ST. PETERSBURG COLLEGIATE HIGH SCHOOL,260,256,98.5%
52,PINELLAS,7281,PLATO ACADEMY PALM HARBOR CHARTER SCHOOL,343,335,97.7%
52,PINELLAS,7291,PINELLAS ACADEMY OF MATH AND SCIENCE,817,786,96.2%
52,PINELLAS,7331,DISCOVERY ACADEMY OF SCIENCE,722,708,98.1%
52,PINELLAS,7381,PLATO ACADEMY LARGO CHARTER SCHOOL,305,279,91.5%
52,PINELLAS,7411,ST. PETERSBURG COLLEGIATE HIGH SCHOOL  NORTH PINELLAS,223,219,98.2%
52,PINELLAS,7431,ST. PETERSBURG COLLEGIATE STEM HIGH SCHOOL,220,214,97.3%
52,PINELLAS,7481,PLATO SEMINOLE,311,304,97.7%
52,PINELLAS,7491,PINELLAS MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL PINELLAS),149,118,79.2%
52,PINELLAS,7581,PLATO ACADEMY CHARTER SCHOOL TARPON SPRINGS,349,342,98.0%
52,PINELLAS,7681,PLATO ACADEMY OF ST.PETERSBURG,374,368,98.4%
52,PINELLAS,7731,ENTERPRISE CHARTER HIGH SCHOOL,387,296,76.5%
52,PINELLAS,7781,PLATO ACADEMY PINELLAS PARK CHARTER SCHOOL,535,516,96.4%
52,PINELLAS,8028,PACE CENTER FOR GIRLS,36,31,86.1%
52,PINELLAS,8031,PINELLAS JUVENILE DET CENTER,55,4,7.3%
52,PINELLAS,8060,PINELLAS COUNTY JAIL,25,17,68.0%
53,POLK,0031,LAKELAND SENIOR HIGH SCHOOL,"1,985","1,880",94.7%
53,POLK,0043,LAWTON CHILES MIDDLE ACADEMY,704,684,97.2%
53,POLK,0051,SOUTHWEST MIDDLE SCHOOL,746,686,92.0%
53,POLK,0061,CARLTON PALMORE ELEMENTARY SCHOOL,402,375,93.3%
53,POLK,0081,CLEVELAND COURT ELEMENTARY SCHOOL,374,348,93.0%
53,POLK,0091,COMBEE ACADEMY OF DESIGN AND ENGINEERING,479,459,95.8%
53,POLK,0092,DORIS A. SANDERS LEARNING CENTER,84,82,97.6%
53,POLK,0101,CRYSTAL LAKE ELEMENTARY SCHOOL,437,390,89.2%
53,POLK,0131,DIXIELAND ELEMENTARY SCHOOL,344,307,89.2%
53,POLK,0141,SOUTH POINTE ELEMENTARY,689,645,93.6%
53,POLK,0151,PHILIP O'BRIEN ELEMENTARY SCHOOL,625,578,92.5%
53,POLK,0181,MEDULLA ELEMENTARY SCHOOL,488,458,93.9%
53,POLK,0191,R. BRUCE WAGNER ELEMENTARY SCHOOL,899,848,94.3%
53,POLK,0201,NORTH LAKELAND ELEMENTARY SCHOOL OF CHOICE,658,585,88.9%
53,POLK,0231,SOUTHWEST ELEMENTARY SCHOOL,376,355,94.4%
53,POLK,0251,LINCOLN AVENUE ACADEMY,512,509,99.4%
53,POLK,0261,ROCHELLE SCHOOL OF THE ARTS,762,735,96.5%
53,POLK,0311,DANIEL JENKINS ACADEMY OF TECHNOLOGY MIDDLE SCHOOL,506,498,98.4%
53,POLK,0321,SHELLEY S. BOONE MIDDLE SCHOOL,"1,329","1,197",90.1%
53,POLK,0331,ALTA VISTA ELEMENTARY SCHOOL,780,728,93.3%
53,POLK,0341,SANDHILL ELEMENTARY SCHOOL,"1,111","1,026",92.3%
53,POLK,0361,EASTSIDE ELEMENTARY SCHOOL,725,684,94.3%
53,POLK,0391,BETHUNE ACADEMY,430,415,96.5%
53,POLK,0401,DAVENPORT SCHOOL OF THE ARTS,"1,440","1,411",98.0%
53,POLK,0421,DON E WOODS OPPORTUNITY CENTER,82,45,54.9%
53,POLK,0441,RIDGEVIEW GLOBAL STUDIES ACADEMY,"1,581","1,557",98.5%
53,POLK,0481,WINTER HAVEN SENIOR HIGH SCHOOL,"2,648","2,486",93.9%
53,POLK,0491,DENISON MIDDLE SCHOOL,684,627,91.7%
53,POLK,0531,FRANK E. BRIGHAM ACADEMY,547,544,99.5%
53,POLK,0571,WESTWOOD MIDDLE SCHOOL,712,661,92.8%
53,POLK,0591,ELBERT ELEMENTARY SCHOOL,549,498,90.7%
53,POLK,0601,FRED G. GARNER ACADEMY,817,776,95.0%
53,POLK,0611,INWOOD ELEMENTARY SCHOOL,423,387,91.5%
53,POLK,0621,LAKE SHIPP ELEMENTARY SCHOOL,576,553,96.0%
53,POLK,0631,JOHN SNIVELY ELEMENTARY,396,371,93.7%
53,POLK,0651,LAKE ALFRED ELEMENTARY SCHOOL,"1,059","1,000",94.4%
53,POLK,0661,KAREN M. SIEGEL ACADEMY,175,166,94.9%
53,POLK,0681,WAHNETA ELEMENTARY SCHOOL,491,469,95.5%
53,POLK,0711,JEWETT MIDDLE ACADEMY MAGNET,566,550,97.2%
53,POLK,0712,JEWETT SCHOOL OF THE ARTS,746,732,98.1%
53,POLK,0791,FORT MEADE MIDDLE/SENIOR HIGH SCHOOL,731,701,95.9%
53,POLK,0802,LEWIS ANNA WOODBURY ELEMENTARY SCHOOL,593,558,94.1%
53,POLK,0811,AUBURNDALE SENIOR HIGH SCHOOL,"1,770","1,649",93.2%
53,POLK,0821,JERE L. STAMBAUGH MIDDLE,"1,013",943,93.1%
53,POLK,0841,LENA VISTA ELEMENTARY SCHOOL,915,848,92.7%
53,POLK,0851,AUBURNDALE CENTRAL ELEMENTARY SCHOOL,371,333,89.8%
53,POLK,0861,WALTER CALDWELL ELEMENTARY SCHOOL,887,832,93.8%
53,POLK,0881,POLK CITY ELEMENTARY SCHOOL,545,513,94.1%
53,POLK,0901,BARTOW SENIOR HIGH SCHOOL,"2,276","2,129",93.5%
53,POLK,0916,FRESH START COMMUNITY SCHOOL,105,74,70.5%
53,POLK,0917,POLK GRAD ACADEMY,14,12,85.7%
53,POLK,0921,REAL ACADEMY (REACHING EVERY ADOLESCENT LEARNER),215,180,83.7%
53,POLK,0925,DAVENPORT ELEMENTARY,938,864,92.1%
53,POLK,0931,BARTOW MIDDLE SCHOOL,881,823,93.4%
53,POLK,0932,COMPASS MIDDLE CHARTER SCHOOL,168,158,94.0%
53,POLK,0933,CHAIN OF LAKES ELEMENTARY SCHOOL,"1,007",962,95.5%
53,POLK,0937,RIDGE COMMUNITY HIGH SCHOOL,"2,632","2,450",93.1%
53,POLK,0941,BARTOW ELEMENTARY ACADEMY,524,516,98.5%
53,POLK,0961,FLORAL AVENUE ELEMENTARY SCHOOL,585,543,92.8%
53,POLK,0962,JEAN O'DELL LEARNING CENTER,81,79,97.5%
53,POLK,0971,UNION ACADEMY,382,377,98.7%
53,POLK,1032,CITRUS RIDGE A CIVICS ACADEMY,"1,108",977,88.2%
53,POLK,1041,ALTURAS ELEMENTARY SCHOOL,274,257,93.8%
53,POLK,1051,TENOROC HIGH SCHOOL,"1,141","1,049",91.9%
53,POLK,1061,HIGHLAND CITY ELEMENTARY SCHOOL,414,391,94.4%
53,POLK,1131,MULBERRY SENIOR HIGH SCHOOL,"1,451","1,355",93.4%
53,POLK,1141,PURCELL ELEMENTARY SCHOOL,438,405,92.5%
53,POLK,1161,MULBERRY MIDDLE SCHOOL,"1,058","1,004",94.9%
53,POLK,1181,KATHLEEN SENIOR HIGH SCHOOL,"1,861","1,690",90.8%
53,POLK,1191,KATHLEEN MIDDLE SCHOOL,742,688,92.7%
53,POLK,1221,KATHLEEN ELEMENTARY SCHOOL,453,408,90.1%
53,POLK,1231,GRIFFIN ELEMENTARY SCHOOL,431,396,91.9%
53,POLK,1241,JESSE KEEN ELEMENTARY SCHOOL,621,566,91.1%
53,POLK,1251,WINSTON ACADEMY OF ENGINEERING,536,527,98.3%
53,POLK,1271,SLEEPY HILL ELEMENTARY SCHOOL,711,673,94.7%
53,POLK,1281,HIGHLANDS GROVE ELEMENTARY SCHOOL,691,653,94.5%
53,POLK,1341,MCLAUGHLIN ACADEMY OF EXCELLENCE,758,651,85.9%
53,POLK,1351,POLK AVENUE ELEMENTARY SCHOOL,523,511,97.7%
53,POLK,1361,HILLCREST ELEMENTARY SCHOOL,667,658,98.7%
53,POLK,1362,HORIZONS ELEMENTARY SCHOOL,"1,543","1,441",93.4%
53,POLK,1371,SPOOK HILL ELEMENTARY SCHOOL,574,533,92.9%
53,POLK,1381,ROOSEVELT ACADEMY,279,267,95.7%
