"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
09,CITRUS,0031,CITRUS HIGH SCHOOL,"1,465","1,361",92.9%
09,CITRUS,0032,INVERNESS PRIMARY SCHOOL,641,617,96.3%
09,CITRUS,0035,CENTRAL RIDGE ELEMENTARY SCHOOL,801,759,94.8%
09,CITRUS,0042,INVERNESS MIDDLE SCHOOL,911,853,93.6%
09,CITRUS,0061,FLORAL CITY ELEMENTARY SCHOOL,387,359,92.8%
09,CITRUS,0071,HOMOSASSA ELEMENTARY SCHOOL,405,366,90.4%
09,CITRUS,0083,CRYSTAL RIVER MIDDLE SCHOOL,906,836,92.3%
09,CITRUS,0102,CRYSTAL RIVER PRIMARY SCHOOL,644,591,91.8%
09,CITRUS,0121,CRYSTAL RIVER HIGH SCHOOL,"1,293","1,168",90.3%
09,CITRUS,0131,WITHLACOOCHEE TECHNICAL COLLEGE,*,*,*
09,CITRUS,0161,LECANTO PRIMARY SCHOOL,816,771,94.5%
09,CITRUS,0162,LECANTO MIDDLE SCHOOL,786,743,94.5%
09,CITRUS,0163,LECANTO HIGH SCHOOL,"1,735","1,590",91.6%
09,CITRUS,0171,HERNANDO ELEMENTARY SCHOOL,730,673,92.2%
09,CITRUS,0181,CITRUS SPRINGS ELEMENTARY SCHOOL,877,839,95.7%
09,CITRUS,0191,ROCK CRUSHER ELEMENTARY SCHOOL,664,642,96.7%
09,CITRUS,0201,CREST SCHOOL,102,94,92.2%
09,CITRUS,0211,CITRUS SPRINGS MIDDLE SCHOOL,752,713,94.8%
09,CITRUS,0215,ACADEMY OF ENVIRONMENTAL SCIENCE,115,106,92.2%
09,CITRUS,0321,SRMI @ RENAISSANCE CENTER,82,50,61.0%
09,CITRUS,7004,CITRUS ESCHOOL,69,57,82.6%
09,CITRUS,7073,CAMP E-NINI HASSEE,17,12,70.6%
09,CITRUS,8003,PACE CENTER FOR GIRLS,29,21,72.4%
10,CLAY,0020,FLORIDA YOUTH CHALLENGE ACADEMY,17,0,0.0%
10,CLAY,0021,GREEN COVE SPRINGS JUNIOR HIGH SCHOOL,793,773,97.5%
10,CLAY,0071,CHARLES E. BENNETT ELEMENTARY SCHOOL,564,525,93.1%
10,CLAY,0111,R. C. BANNERMAN LEARNING CENTER,211,97,46.0%
10,CLAY,0112,PACE CENTER FOR GIRLS CLAY,50,36,72.0%
10,CLAY,0113,AMIKIDS CLAY COUNTY,32,25,78.1%
10,CLAY,0201,ORANGE PARK ELEMENTARY SCHOOL,489,486,99.4%
10,CLAY,0232,GROVE PARK ELEMENTARY SCHOOL,445,410,92.1%
10,CLAY,0241,W E CHERRY ELEMENTARY SCHOOL,652,608,93.3%
10,CLAY,0252,ORANGE PARK HIGH SCHOOL,"1,844","1,759",95.4%
10,CLAY,0261,DOCTORS INLET ELEMENTARY SCHOOL,545,519,95.2%
10,CLAY,0271,MIDDLEBURG ELEMENTARY SCHOOL,581,564,97.1%
10,CLAY,0301,KEYSTONE HEIGHTS ELEMENTARY,779,748,96.0%
10,CLAY,0311,KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH,"1,139","1,066",93.6%
